nome_pc;cpu_modelo;cpu_temp;cpu_uso;cpu_energia;ram_uso;ram_utilizada;ram_livre
GUSNAWEB;Intel Core i5-8350U;76;10,4;17,2;90,2;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;79;9,8;18,6;90,1;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;80;9,1;18,1;90,1;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;79;8,1;14,8;90;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;79;10,9;15,4;90;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;79;9,7;14,4;89,8;7;0,8
GUSNAWEB;Intel Core i5-8350U;80;11,1;17,3;89,6;7;0,8
GUSNAWEB;Intel Core i5-8350U;68;7,6;15,2;90;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;77;2,3;10,9;90;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;70;10,2;24,2;90;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;76;5,2;15,2;90;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;79;7,4;18,1;89,9;7;0,8
GUSNAWEB;Intel Core i5-8350U;79;8,7;15,5;89,9;7;0,8
GUSNAWEB;Intel Core i5-8350U;79;6,7;16,3;89,6;7;0,8
GUSNAWEB;Intel Core i5-8350U;82;10,3;18,1;88,3;6,9;0,9
GUSNAWEB;Intel Core i5-8350U;66;11,1;12,4;87,2;6,8;1
GUSNAWEB;Intel Core i5-8350U;75;6,5;8,6;86,6;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;78;10,2;16,8;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;68;5,6;14,2;86,4;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;79;32,9;16,9;86,4;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;82;99,8;29;86,4;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;81;100;28,9;86,6;6,8;1
GUSNAWEB;Intel Core i5-8350U;81;100;29;86,8;6,8;1
GUSNAWEB;Intel Core i5-8350U;84;100;28,9;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;84;100;28,9;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;85;100;28,9;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;85;100;29;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;87;100;29;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;88;100;29;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;87;100;29;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;87;100;29;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;88;100;29;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;88;100;28,9;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;88;100;28,8;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;89;100;29;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;88;100;29;86,9;6,8;1
GUSNAWEB;Intel Core i5-8350U;89;100;29;86,9;6,8;1
GUSNAWEB;Intel Core i5-8350U;90;100;29;86,9;6,8;1
GUSNAWEB;Intel Core i5-8350U;90;100;28,9;86,9;6,8;1
GUSNAWEB;Intel Core i5-8350U;90;100;29;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;91;100;28,9;86,9;6,8;1
GUSNAWEB;Intel Core i5-8350U;90;100;28,9;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;91;100;29;87,2;6,8;1
GUSNAWEB;Intel Core i5-8350U;91;42,8;21,1;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;90;13,1;17,6;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;87;14,3;16;86,4;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;89;14,6;15,3;86,2;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;88;14,1;16;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;86;12,7;15,3;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;88;13,3;17,4;86,2;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;87;13,4;17,8;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;78;16;15,7;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;86;17,4;17,7;86,2;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;88;16,2;15,6;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;83;13;16,5;86,2;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;79;14;20,2;86,2;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;87;13,5;17,2;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;88;12,5;16;86,2;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;86;13,9;14,8;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;86;16,1;16,7;86,3;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;84;15,6;19,7;86,2;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;86;20,9;19,3;86,4;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;84;13,9;18,5;86,5;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;77;14,8;19,6;86,5;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;87;15,7;19,7;86,4;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;87;13,7;22,1;86,5;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;88;14,8;19,4;86,5;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;86;18,4;22;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;87;11,7;25;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;83;13,1;24,6;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;88;10,1;16,3;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;85;11,1;16,9;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;86;12,5;18;87,1;6,8;1
GUSNAWEB;Intel Core i5-8350U;87;14,3;16,4;87;6,8;1
GUSNAWEB;Intel Core i5-8350U;87;17;17,2;86,8;6,8;1
GUSNAWEB;Intel Core i5-8350U;86;13,9;14,7;86,7;6,8;1
GUSNAWEB;Intel Core i5-8350U;85;14;16,5;86,6;6,8;1,1
GUSNAWEB;Intel Core i5-8350U;83;16,2;17,2;86,8;6,8;1
GUSNAWEB;Intel Core i5-8350U;86;15,1;17,9;86,8;6,8;1
GUSNAWEB;Intel Core i5-8350U;85;13,2;16,2;86,8;6,8;1
GUSNAWEB;Intel Core i5-8350U;86;13,5;15,7;86,8;6,8;1
GUSNAWEB;Intel Core i5-8350U;85;13;16;86,7;6,8;1
GUSNAWEB;Intel Core i5-8350U;88;47,1;27,1;87,8;6,9;1
GUSNAWEB;Intel Core i5-8350U;84;32;28,3;88,6;6,9;0,9
GUSNAWEB;Intel Core i5-8350U;86;44,4;28,7;90,4;7,1;0,8
GUSNAWEB;Intel Core i5-8350U;88;54;28,7;92,2;7,2;0,6
GUSNAWEB;Intel Core i5-8350U;88;70,2;28,9;94,3;7,4;0,4
GUSNAWEB;Intel Core i5-8350U;88;67,2;28,9;96,4;7,6;0,3
GUSNAWEB;Intel Core i5-8350U;90;80,5;29,2;98,3;7,7;0,1
GUSNAWEB;Intel Core i5-8350U;88;82,3;28,6;99,8;7,8;0
GUSNAWEB;Intel Core i5-8350U;91;95,3;28,9;99,8;7,8;0
GUSNAWEB;Intel Core i5-8350U;93;96,2;29;99,8;7,8;0
GUSNAWEB;Intel Core i5-8350U;91;87,1;28,8;81,1;6,4;1,5
GUSNAWEB;Intel Core i5-8350U;90;33,7;28;76;6;1,9
GUSNAWEB;Intel Core i5-8350U;92;13,7;26,3;76,4;6;1,8
GUSNAWEB;Intel Core i5-8350U;97;11,5;26,3;76,7;6;1,8
GUSNAWEB;Intel Core i5-8350U;90;13,9;26,8;76,9;6;1,8
GUSNAWEB;Intel Core i5-8350U;93;13,8;26,8;77,2;6,1;1,8
GUSNAWEB;Intel Core i5-8350U;93;10,9;26,4;77,6;6,1;1,8
GUSNAWEB;Intel Core i5-8350U;95;19,3;27,7;78;6,1;1,7
GUSNAWEB;Intel Core i5-8350U;91;14,1;26,6;78,1;6,1;1,7
GUSNAWEB;Intel Core i5-8350U;92;13,7;27;78,6;6,2;1,7
GUSNAWEB;Intel Core i5-8350U;95;14,2;25,1;79;6,2;1,6
GUSNAWEB;Intel Core i5-8350U;91;13,2;26,4;79,2;6,2;1,6
GUSNAWEB;Intel Core i5-8350U;95;16;27;79,7;6,2;1,6
GUSNAWEB;Intel Core i5-8350U;92;13,3;26,1;79,9;6,3;1,6
GUSNAWEB;Intel Core i5-8350U;92;18,3;27,7;80,3;6,3;1,5
GUSNAWEB;Intel Core i5-8350U;93;24,6;28;80,3;6,3;1,5
GUSNAWEB;Intel Core i5-8350U;94;26,6;28,2;80,6;6,3;1,5
GUSNAWEB;Intel Core i5-8350U;96;19,4;27,8;80,9;6,3;1,5
GUSNAWEB;Intel Core i5-8350U;97;21,6;27,1;81,2;6,4;1,5
GUSNAWEB;Intel Core i5-8350U;93;12,3;20,7;81,3;6,4;1,5
GUSNAWEB;Intel Core i5-8350U;93;7;17,3;81,3;6,4;1,5
GUSNAWEB;Intel Core i5-8350U;84;11,7;15,7;81,3;6,4;1,5
GUSNAWEB;Intel Core i5-8350U;90;9;18,2;81,3;6,4;1,5
GUSNAWEB;Intel Core i5-8350U;92;11,6;19,9;81,4;6,4;1,5
GUSNAWEB;Intel Core i5-8350U;90;15,9;20,7;81,5;6,4;1,4
GUSNAWEB;Intel Core i5-8350U;91;100;28,9;83,3;6,5;1,3
GUSNAWEB;Intel Core i5-8350U;93;27,7;28,6;84,2;6,6;1,2
GUSNAWEB;Intel Core i5-8350U;93;33,5;28,5;85;6,7;1,2
GUSNAWEB;Intel Core i5-8350U;92;26,7;28,7;85,8;6,7;1,1
GUSNAWEB;Intel Core i5-8350U;94;33;28,7;86,7;6,8;1
GUSNAWEB;Intel Core i5-8350U;92;21,7;27,8;87,4;6,9;1
GUSNAWEB;Intel Core i5-8350U;93;36,7;28,7;87,9;6,9;0,9
GUSNAWEB;Intel Core i5-8350U;84;17;26,2;88,5;6,9;0,9
GUSNAWEB;Intel Core i5-8350U;91;13,9;18;89,1;7;0,9
GUSNAWEB;Intel Core i5-8350U;83;17,5;18,7;89,5;7;0,8
GUSNAWEB;Intel Core i5-8350U;95;9,4;10,8;89,6;7;0,8
GUSNAWEB;Intel Core i5-8350U;80;9,8;18,9;89;7;0,9
GUSNAWEB;Intel Core i5-8350U;95;10,4;18,3;71,1;5,6;2,3
GUSNAWEB;Intel Core i5-8350U;97;11,9;17,3;71;5,6;2,3
GUSNAWEB;Intel Core i5-8350U;93;12,2;16;70,5;5,5;2,3
GUSNAWEB;Intel Core i5-8350U;97;13,2;17,1;70,5;5,5;2,3
GUSNAWEB;Intel Core i5-8350U;90;13,7;19,2;69,3;5,4;2,4
GUSNAWEB;Intel Core i5-8350U;98;13,1;24;69,6;5,5;2,4
GUSNAWEB;Intel Core i5-8350U;99;18,5;21,9;69,4;5,4;2,4
GUSNAWEB;Intel Core i5-8350U;97;20,6;21,4;69,6;5,5;2,4
GUSNAWEB;Intel Core i5-8350U;91;16,6;19,9;69,4;5,4;2,4
GUSNAWEB;Intel Core i5-8350U;94;11,5;15,6;69,1;5,4;2,4
GUSNAWEB;Intel Core i5-8350U;94;11,9;15;69,2;5,4;2,4
GUSNAWEB;Intel Core i5-8350U;95;11,2;14,2;69,1;5,4;2,4
GUSNAWEB;Intel Core i5-8350U;94;12,5;16,5;68,5;5,4;2,5
GUSNAWEB;Intel Core i5-8350U;93;11,6;17,2;68,6;5,4;2,5
GUSNAWEB;Intel Core i5-8350U;93;10,4;14,5;68,6;5,4;2,5
GUSNAWEB;Intel Core i5-8350U;91;15;16,1;68,1;5,3;2,5
GUSNAWEB;Intel Core i5-8350U;92;10,9;14,1;68;5,3;2,5
GUSNAWEB;Intel Core i5-8350U;90;11,3;14,7;68,1;5,3;2,5
GUSNAWEB;Intel Core i5-8350U;91;12,9;17,3;68;5,3;2,5
GUSNAWEB;Intel Core i5-8350U;77;13,3;14,1;68,1;5,3;2,5
GUSNAWEB;Intel Core i5-8350U;90;12;14,6;67,9;5,3;2,5
GUSNAWEB;Intel Core i5-8350U;91;11,9;14,8;68;5,3;2,5
GUSNAWEB;Intel Core i5-8350U;91;12,2;14,1;67,3;5,3;2,6
GUSNAWEB;Intel Core i5-8350U;92;12,3;18,3;67,2;5,3;2,6
GUSNAWEB;Intel Core i5-8350U;90;10,8;14,7;67,1;5,3;2,6
GUSNAWEB;Intel Core i5-8350U;91;12,3;14,8;67,1;5,3;2,6
GUSNAWEB;Intel Core i5-8350U;92;13,7;16,6;66,8;5,2;2,6
GUSNAWEB;Intel Core i5-8350U;90;11,4;14,3;66,9;5,2;2,6
GUSNAWEB;Intel Core i5-8350U;90;12,1;17,7;66,9;5,2;2,6
GUSNAWEB;Intel Core i5-8350U;89;11,5;15,3;66,8;5,2;2,6
GUSNAWEB;Intel Core i5-8350U;89;11,2;14,3;66,8;5,2;2,6
GUSNAWEB;Intel Core i5-8350U;86;11,6;14,5;65,8;5,2;2,7
GUSNAWEB;Intel Core i5-8350U;97;13,5;18,1;65;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;90;12,4;17,5;65,1;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;90;11,6;16;65,1;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;89;11,9;16,5;65;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;90;15,8;20,3;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;88;8,5;15,2;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;93;10,8;17,7;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;87;8,8;15,7;65,4;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;89;5,2;15;65,5;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;86;3,9;15,3;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;88;8,6;15,3;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;86;6,8;16,8;65,4;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;78;7;15,9;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;89;8,5;14,9;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;87;8,6;14,8;65,3;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;88;8,5;14,2;65,4;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;88;6,6;14,5;65,4;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;87;6,8;17,7;65,5;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;88;7;15,2;65,4;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;86;6,1;13,8;65,4;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;81;8,8;14,4;65,4;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;75;6,4;15,2;65,6;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;89;11,8;20,8;65,7;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;85;8,4;14,4;65,7;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;87;3,8;14,1;65,7;5,2;2,7
GUSNAWEB;Intel Core i5-8350U;87;7,4;15,5;65,7;5,1;2,7
GUSNAWEB;Intel Core i5-8350U;87;8,6;14,4;64,9;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;82;9,6;16,3;64,8;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;86;7,6;14,4;64,8;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;82;10,2;13,9;64,8;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;85;6,8;14,7;64,8;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;77;6;15,5;64,8;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;92;5,5;22,7;64,9;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;87;8,4;16,6;64,5;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;96;7,6;21,7;64,6;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;82;6,8;16,5;64,6;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;91;12,5;21,9;64,6;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;88;8;18,4;64,7;5,1;2,8
GUSNAWEB;Intel Core i5-8350U;93;7,6;21,7;64,7;5,1;2,8
