nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,76.0,10.4,17.2,90.2,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,9.8,18.6,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,80.0,9.1,18.1,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,8.1,14.8,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,10.9,15.4,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,9.7,14.4,89.8,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,80.0,11.1,17.3,89.6,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,68.0,7.6,15.2,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,77.0,2.3,10.9,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,70.0,10.2,24.2,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,76.0,5.2,15.2,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,7.4,18.1,89.9,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,8.7,15.5,89.9,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,6.7,16.3,89.6,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,82.0,10.3,18.1,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,66.0,11.1,12.4,87.2,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,75.0,6.5,8.6,86.6,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,78.0,10.2,16.8,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,68.0,5.6,14.2,86.4,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,79.0,32.9,16.9,86.4,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,82.0,99.8,29.0,86.4,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,81.0,100.0,28.9,86.6,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,81.0,100.0,29.0,86.8,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,84.0,100.0,28.9,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,84.0,100.0,28.9,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,85.0,100.0,28.9,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,85.0,100.0,29.0,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,87.0,100.0,29.0,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,100.0,29.0,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,87.0,100.0,29.0,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,87.0,100.0,29.0,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,100.0,29.0,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,100.0,28.9,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,100.0,28.8,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,89.0,100.0,29.0,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,100.0,29.0,86.9,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,89.0,100.0,29.0,86.9,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,90.0,100.0,29.0,86.9,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,90.0,100.0,28.9,86.9,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,90.0,100.0,29.0,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,91.0,100.0,28.9,86.9,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,90.0,100.0,28.9,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,91.0,100.0,29.0,87.2,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,91.0,42.8,21.1,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,90.0,13.1,17.6,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,87.0,14.3,16.0,86.4,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,89.0,14.6,15.3,86.2,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,88.0,14.1,16.0,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,86.0,12.7,15.3,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,88.0,13.3,17.4,86.2,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,87.0,13.4,17.8,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,78.0,16.0,15.7,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,86.0,17.4,17.7,86.2,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,88.0,16.2,15.6,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,83.0,13.0,16.5,86.2,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,79.0,14.0,20.2,86.2,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,87.0,13.5,17.2,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,88.0,12.5,16.0,86.2,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,86.0,13.9,14.8,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,86.0,16.1,16.7,86.3,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,84.0,15.6,19.7,86.2,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,86.0,20.9,19.3,86.4,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,84.0,13.9,18.5,86.5,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,77.0,14.8,19.6,86.5,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,87.0,15.7,19.7,86.4,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,87.0,13.7,22.1,86.5,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,88.0,14.8,19.4,86.5,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,86.0,18.4,22.0,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,87.0,11.7,25.0,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,83.0,13.1,24.6,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,10.1,16.3,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,85.0,11.1,16.9,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,86.0,12.5,18.0,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,87.0,14.3,16.4,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,87.0,17.0,17.2,86.8,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,86.0,13.9,14.7,86.7,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,85.0,14.0,16.5,86.6,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,83.0,16.2,17.2,86.8,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,86.0,15.1,17.9,86.8,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,85.0,13.2,16.2,86.8,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,86.0,13.5,15.7,86.8,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,85.0,13.0,16.0,86.7,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,47.1,27.1,87.8,6.9,1.0,
GUSNAWEB,Intel Core i5-8350U,84.0,32.0,28.3,88.6,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,86.0,44.4,28.7,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,54.0,28.7,92.2,7.2,0.6,
GUSNAWEB,Intel Core i5-8350U,88.0,70.2,28.9,94.3,7.4,0.4,
GUSNAWEB,Intel Core i5-8350U,88.0,67.2,28.9,96.4,7.6,0.3,
GUSNAWEB,Intel Core i5-8350U,90.0,80.5,29.2,98.3,7.7,0.1,
GUSNAWEB,Intel Core i5-8350U,88.0,82.3,28.6,99.8,7.8,0.0,
GUSNAWEB,Intel Core i5-8350U,91.0,95.3,28.9,99.8,7.8,0.0,
GUSNAWEB,Intel Core i5-8350U,93.0,96.2,29.0,99.8,7.8,0.0,
GUSNAWEB,Intel Core i5-8350U,91.0,87.1,28.8,81.1,6.4,1.5,
GUSNAWEB,Intel Core i5-8350U,90.0,33.7,28.0,76.0,6.0,1.9,
GUSNAWEB,Intel Core i5-8350U,92.0,13.7,26.3,76.4,6.0,1.8,
GUSNAWEB,Intel Core i5-8350U,97.0,11.5,26.3,76.7,6.0,1.8,
GUSNAWEB,Intel Core i5-8350U,90.0,13.9,26.8,76.9,6.0,1.8,
GUSNAWEB,Intel Core i5-8350U,93.0,13.8,26.8,77.2,6.1,1.8,
GUSNAWEB,Intel Core i5-8350U,93.0,10.9,26.4,77.6,6.1,1.8,
GUSNAWEB,Intel Core i5-8350U,95.0,19.3,27.7,78.0,6.1,1.7,
GUSNAWEB,Intel Core i5-8350U,91.0,14.1,26.6,78.1,6.1,1.7,
GUSNAWEB,Intel Core i5-8350U,92.0,13.7,27.0,78.6,6.2,1.7,
GUSNAWEB,Intel Core i5-8350U,95.0,14.2,25.1,79.0,6.2,1.6,
GUSNAWEB,Intel Core i5-8350U,91.0,13.2,26.4,79.2,6.2,1.6,
GUSNAWEB,Intel Core i5-8350U,95.0,16.0,27.0,79.7,6.2,1.6,
GUSNAWEB,Intel Core i5-8350U,92.0,13.3,26.1,79.9,6.3,1.6,
GUSNAWEB,Intel Core i5-8350U,92.0,18.3,27.7,80.3,6.3,1.5,
GUSNAWEB,Intel Core i5-8350U,93.0,24.6,28.0,80.3,6.3,1.5,
GUSNAWEB,Intel Core i5-8350U,94.0,26.6,28.2,80.6,6.3,1.5,
GUSNAWEB,Intel Core i5-8350U,96.0,19.4,27.8,80.9,6.3,1.5,
GUSNAWEB,Intel Core i5-8350U,97.0,21.6,27.1,81.2,6.4,1.5,
GUSNAWEB,Intel Core i5-8350U,93.0,12.3,20.7,81.3,6.4,1.5,
GUSNAWEB,Intel Core i5-8350U,93.0,7.0,17.3,81.3,6.4,1.5,
GUSNAWEB,Intel Core i5-8350U,84.0,11.7,15.7,81.3,6.4,1.5,
GUSNAWEB,Intel Core i5-8350U,90.0,9.0,18.2,81.3,6.4,1.5,
GUSNAWEB,Intel Core i5-8350U,92.0,11.6,19.9,81.4,6.4,1.5,
GUSNAWEB,Intel Core i5-8350U,90.0,15.9,20.7,81.5,6.4,1.4,
GUSNAWEB,Intel Core i5-8350U,91.0,100.0,28.9,83.3,6.5,1.3,
GUSNAWEB,Intel Core i5-8350U,93.0,27.7,28.6,84.2,6.6,1.2,
GUSNAWEB,Intel Core i5-8350U,93.0,33.5,28.5,85.0,6.7,1.2,
GUSNAWEB,Intel Core i5-8350U,92.0,26.7,28.7,85.8,6.7,1.1,
GUSNAWEB,Intel Core i5-8350U,94.0,33.0,28.7,86.7,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,92.0,21.7,27.8,87.4,6.9,1.0,
GUSNAWEB,Intel Core i5-8350U,93.0,36.7,28.7,87.9,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,17.0,26.2,88.5,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,91.0,13.9,18.0,89.1,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,83.0,17.5,18.7,89.5,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,95.0,9.4,10.8,89.6,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,80.0,9.8,18.9,89.0,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,95.0,10.4,18.3,71.1,5.6,2.3,
GUSNAWEB,Intel Core i5-8350U,97.0,11.9,17.3,71.0,5.6,2.3,
GUSNAWEB,Intel Core i5-8350U,93.0,12.2,16.0,70.5,5.5,2.3,
GUSNAWEB,Intel Core i5-8350U,97.0,13.2,17.1,70.5,5.5,2.3,
GUSNAWEB,Intel Core i5-8350U,90.0,13.7,19.2,69.3,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,98.0,13.1,24.0,69.6,5.5,2.4,
GUSNAWEB,Intel Core i5-8350U,99.0,18.5,21.9,69.4,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,97.0,20.6,21.4,69.6,5.5,2.4,
GUSNAWEB,Intel Core i5-8350U,91.0,16.6,19.9,69.4,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,94.0,11.5,15.6,69.1,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,94.0,11.9,15.0,69.2,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,95.0,11.2,14.2,69.1,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,94.0,12.5,16.5,68.5,5.4,2.5,
GUSNAWEB,Intel Core i5-8350U,93.0,11.6,17.2,68.6,5.4,2.5,
GUSNAWEB,Intel Core i5-8350U,93.0,10.4,14.5,68.6,5.4,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,15.0,16.1,68.1,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,92.0,10.9,14.1,68.0,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,90.0,11.3,14.7,68.1,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,12.9,17.3,68.0,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,77.0,13.3,14.1,68.1,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,90.0,12.0,14.6,67.9,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,11.9,14.8,68.0,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,12.2,14.1,67.3,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,92.0,12.3,18.3,67.2,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,90.0,10.8,14.7,67.1,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,91.0,12.3,14.8,67.1,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,92.0,13.7,16.6,66.8,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,90.0,11.4,14.3,66.9,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,90.0,12.1,17.7,66.9,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,89.0,11.5,15.3,66.8,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,89.0,11.2,14.3,66.8,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,86.0,11.6,14.5,65.8,5.2,2.7,
GUSNAWEB,Intel Core i5-8350U,97.0,13.5,18.1,65.0,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,90.0,12.4,17.5,65.1,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,90.0,11.6,16.0,65.1,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.9,16.5,65.0,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,90.0,15.8,20.3,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,8.5,15.2,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,93.0,10.8,17.7,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,8.8,15.7,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,5.2,15.0,65.5,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,86.0,3.9,15.3,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,8.6,15.3,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,86.0,6.8,16.8,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,78.0,7.0,15.9,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,8.5,14.9,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,8.6,14.8,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,8.5,14.2,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,6.6,14.5,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,6.8,17.7,65.5,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,7.0,15.2,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,86.0,6.1,13.8,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,81.0,8.8,14.4,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,75.0,6.4,15.2,65.6,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.8,20.8,65.7,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,85.0,8.4,14.4,65.7,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,3.8,14.1,65.7,5.2,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,7.4,15.5,65.7,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,8.6,14.4,64.9,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,82.0,9.6,16.3,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,86.0,7.6,14.4,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,82.0,10.2,13.9,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,85.0,6.8,14.7,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,77.0,6.0,15.5,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,92.0,5.5,22.7,64.9,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,87.0,8.4,16.6,64.5,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,96.0,7.6,21.7,64.6,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,82.0,6.8,16.5,64.6,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,91.0,12.5,21.9,64.6,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,88.0,8.0,18.4,64.7,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,93.0,7.6,21.7,64.7,5.1,2.8,